Expiration,(unix),MM Earnings,Spec Earnings,MM USD,MM BTC,Spec USD,Spec BTC,itm mm put, itm mm call, spec mm put, spec mm call, exc mm cap btc, exc mm cap usd, exc spec mm cap btc, exc spec mm cap usd
2010-09-09,(1284015600),5.446516,-5.446516,171794.267702,2211542.000000,191810.832301,2227158.000000,0.062000,1612.000000,1512.000000,1523.000000,1488.000000,1512.000000,161.200000,1488.000000,152.300000
2010-09-16,(1284620400),-2.518216,2.518216,83745.502101,965144.000000,79585.097901,976137.000000,0.061500,1032.000000,984.000000,1063.000000,961.000000,984.000000,103.200000,961.000000,106.300000
